1000 10000
718 864 846
238 197 220
204 934 599
718 343 116
748 603 1021
698 890 188
83 90 931
805 623 827
60 158 155
946 302 222
255 454 52
551 531 58
645 547 899
818 214 760
344 73 837
621 891 118
297 646 796
725 411 743
325 157 123
485 394 883
494 483 655
807 830 610
698 954 634
952 316 109
839 853 610
515 670 527
686 352 217
222 716 268
602 652 663
768 203 8
601 924 320
2 337 796
29 503 121
978 451 627
341 230 895
829 313 202
439 984 52
821 483 645
634 444 785
952 393 598
957 927 109
883 458 782
95 29 789
864 813 427
898 430 34
806 207 906
401 608 738
477 485 254
714 592 140
799 411 212
398 101 880
74 247 508
655 851 294
11 924 598
940 372 99
87 455 690
772 321 641
370 463 20
839 7 552
634 704 146
8 104 117
840 263 1016
991 723 245
871 252 967
800 573 486
16 678 340
129 81 773
544 726 714
833 215 910
968 691 765
762 888 641
324 475 247
775 105 316
352 776 418
989 249 617
674 906 637
288 439 256
945 261 975
937 716 639
633 774 670
197 816 460
697 288 9
343 60 589
996 713 20
673 939 152
599 10 577
415 615 853
300 145 556
481 583 717
927 335 175
768 574 461
762 16 582
407 838 234
129 97 899
11 414 649
312 458 898
566 385 817
202 6 1022
84 409 364
858 700 254
295 471 403
360 977 520
564 54 90
909 702 84
814 301 450
125 524 1004
925 221 619
181 788 114
578 822 357
287 998 995
910 903 21
579 430 565
556 525 630
378 376 360
491 579 810
58 530 384
550 898 951
53 262 143
445 588 43
43 680 290
299 509 272
497 917 989
96 393 735
33 780 482
399 676 975
19 777 902
8 564 1006
653 296 130
438 919 210
912 853 743
291 155 756
707 727 614
516 105 234
116 203 82
596 214 666
526 497 168
515 823 804
309 443 184
467 129 77
245 905 354
29 646 961
39 714 150
185 733 793
446 845 503
712 338 983
567 415 644
162 147 336
49 105 679
22 755 355
349 310 1011
475 401 549
340 313 550
531 819 232
369 738 787
753 875 22
247 266 896
383 448 741
232 391 264
444 351 865
963 610 1007
234 282 497
364 609 451
216 424 296
547 719 346
528 239 886
729 679 363
841 319 575
181 363 923
58 680 150
244 536 342
